# reccmp-compatible function catalog for SERVER
# Generated by validate.py — do not edit manually
#
# Columns: address (hex) | name | symbol | type | size (decimal)

address|name|symbol|type|size
0x10020beb|||function|428
0x10020d97|||function|320
0x10020ed7|||function|266
0x10020fe1|call_with_zero|_call_with_zero|library|23
0x10020ff8|||function|517
0x10021200|crt_strncmp|_crt_strncmp|library|56
0x10021240|memset|_memset|function|88
0x10021298|fpu_control|_fpu_control|library|53
0x100212cd|clear_bit_call|_clear_bit_call|library|22
0x100212e3|||function|146
0x10021375|abstract_cw|__abstract_cw|library|137
0x100213fe|crt_tolower|_crt_tolower|library|111
0x1002146d|||function|203
0x10021538|check_bits_clear|_check_bits_clear|function|73
0x10021581|set_bit_range|_set_bit_range|library|86
0x100215d7|||function|140
0x10021663|copy_3dwords|_copy_3dwords|library|27
0x1002167e|zero_12bytes|_zero_12bytes|library|12
0x1002168a|check_all_zero|_check_all_zero|library|27
0x100216a5|||function|141
0x10021732|||function|364
0x1002189e|wrapper_ctx1|_wrapper_ctx1|library|22
0x100218b4|wrapper_ctx2|_wrapper_ctx2|library|22
0x100218ca|atodbl|__atodbl|library|45
0x100218f7|atoldbl|__atoldbl|library|45
0x10021924|||function|119
0x1002199b|func_1002199b|_func_1002199b|library|92
0x100219f7|||function|182
0x10021aad|fptrap|__fptrap|library|9
0x10021ac0|strcmp|_strcmp|function|129
0x10021b50|strcspn|_strcspn|library|62
0x10021b90|strpbrk|_strpbrk|library|58
0x10021bca|||function|318
0x10021d13|||function|429
0x10021ec0|crtGetACP_getcodepage|___crtGetACP_getcodepage|library|74
0x10021f0a|code_translate|_code_translate|library|51
0x10021f3d|CrtIoInfoInit|_CrtIoInfoInit|library|41
0x10021f66|||function|389
0x100220eb|crt_cinit_once|_crt_cinit_once|library|28
0x10022107|||function|137
0x10022190|||function|293
0x100222b5|||function|139
0x10022340|||function|125
0x100223bd|addl|___addl|library|33
0x100223de|add_12|___add_12|library|94
0x1002243c|shl_12|___shl_12|library|46
0x1002246a|shr_12|___shr_12|library|45
0x10022497|||function|199
0x1002255e|||function|1185
0x10022a2f|||function|659
0x10022cd0|||function|208
0x10022da0|||function|257
0x10022ea1|setmode_lk|__setmode_lk|library|97
0x10022f44|mbsnbicoll|__mbsnbicoll|library|63
0x10022f83|||function|110
0x10022ff1|||function|544
0x10023211|||function|124
0x1002328d|||function|597
0x1002350a|strnlen|__strnlen|library|43
0x10023535|||function|391
0x100236bc|crt_env_search|_crt_env_search|library|88
0x10023714|||function|103
0x1002377b|||function|151
0x10023812|strdup|__strdup|library|43
0x10023840|RtlUnwind|_RtlUnwind|stub|6
